target	model_class	lead	n_train	n_features	artifact_size_kb	elapsed_sec	status	error
uv	HGB	51	76245	24	719.2	2.83	ok	
uv	HGB	52	76245	24	720.9	2.82	ok	
uv	HGB	53	76245	24	721.3	2.87	ok	
uv	HGB	54	76245	24	720.5	2.76	ok	
uv	HGB	55	76245	24	721.0	2.88	ok	
uv	HGB	56	76245	24	722.1	2.87	ok	
uv	HGB	57	76245	24	721.1	2.73	ok	
uv	HGB	58	76245	24	719.7	2.79	ok	
uv	HGB	59	76245	24	720.1	2.79	ok	
uv	HGB	60	76245	24	720.9	2.78	ok	
uv	HGB	61	76245	24	719.1	2.78	ok	
uv	HGB	62	76245	24	720.7	2.78	ok	
uv	HGB	63	76245	24	720.3	2.74	ok	
uv	HGB	64	76245	24	721.9	2.93	ok	
uv	HGB	65	76245	24	721.4	2.94	ok	
uv	HGB	66	76245	24	719.1	2.79	ok	
uv	HGB	67	76245	24	719.4	2.81	ok	
uv	HGB	68	76245	24	720.5	2.80	ok	
uv	HGB	69	76245	24	720.0	2.80	ok	
uv	HGB	70	76245	24	718.8	2.97	ok	
uv	HGB	71	76245	24	718.9	3.31	ok	
uv	HGB	72	76245	24	720.1	2.79	ok	
wind_direction	Ridge	1	76248	25	4.7	0.55	ok	
wind_direction	Ridge	2	76248	25	4.7	0.54	ok	
wind_direction	Ridge	3	76248	25	4.7	0.52	ok	
wind_direction	Ridge	4	76248	25	4.7	0.53	ok	
wind_direction	Ridge	5	76248	25	4.7	0.52	ok	
wind_direction	Ridge	6	76248	25	4.8	0.53	ok	
wind_direction	Ridge	7	76248	25	4.8	0.52	ok	
wind_direction	Ridge	8	76248	25	4.7	0.53	ok	
wind_direction	Ridge	9	76248	25	4.8	0.54	ok	
wind_direction	Ridge	10	76248	25	4.7	0.56	ok	
wind_direction	Ridge	11	76248	25	4.7	0.53	ok	
wind_direction	Ridge	12	76248	25	4.8	0.53	ok	
wind_direction	Ridge	13	76248	25	4.7	0.53	ok	
wind_direction	Ridge	14	76248	25	4.8	0.55	ok	
wind_direction	Ridge	15	76248	25	4.8	0.56	ok	
wind_direction	Ridge	16	76248	25	4.8	0.53	ok	
wind_direction	Ridge	17	76248	25	4.8	0.56	ok	
wind_direction	Ridge	18	76248	25	4.7	0.55	ok	
wind_direction	Ridge	19	76248	25	4.8	0.53	ok	
wind_direction	Ridge	20	76248	25	4.8	0.52	ok	
wind_direction	Ridge	21	76248	25	4.7	0.53	ok	
wind_direction	Ridge	22	76248	25	4.8	0.54	ok	
wind_direction	Ridge	23	76248	25	4.7	0.53	ok	
wind_direction	Ridge	24	76248	25	4.8	0.53	ok	
wind_direction	Ridge	25	76248	25	4.7	0.54	ok	
wind_direction	Ridge	26	76248	25	4.7	0.53	ok	
wind_direction	Ridge	27	76248	25	4.8	0.53	ok	
wind_direction	Ridge	28	76248	25	4.8	0.53	ok	
wind_direction	Ridge	29	76248	25	4.8	0.54	ok	
wind_direction	Ridge	30	76248	25	4.8	0.53	ok	
wind_direction	Ridge	31	76248	25	4.8	0.53	ok	
wind_direction	Ridge	32	76248	25	4.8	0.53	ok	
wind_direction	Ridge	33	76248	25	4.8	0.54	ok	
wind_direction	Ridge	34	76248	25	4.7	0.52	ok	
wind_direction	Ridge	35	76248	25	4.7	0.53	ok	
wind_direction	Ridge	36	76248	25	4.7	0.53	ok	
wind_direction	Ridge	37	76248	25	4.8	0.53	ok	
wind_direction	Ridge	38	76248	25	4.8	0.53	ok	
wind_direction	Ridge	39	76248	25	4.8	0.55	ok	
wind_direction	Ridge	40	76248	25	4.8	0.55	ok	
wind_direction	Ridge	41	76248	25	4.8	0.54	ok	
wind_direction	Ridge	42	76248	25	4.8	0.52	ok	
wind_direction	Ridge	43	76248	25	4.7	0.53	ok	
wind_direction	Ridge	44	76248	25	4.8	0.55	ok	
wind_direction	Ridge	45	76248	25	4.8	0.53	ok	
wind_direction	Ridge	46	76248	25	4.7	0.54	ok	
wind_direction	Ridge	47	76248	25	4.7	0.54	ok	
wind_direction	Ridge	48	76248	25	4.7	0.53	ok	
wind_direction	Ridge	49	76248	25	4.7	0.54	ok	
wind_direction	Ridge	50	76248	25	4.7	0.52	ok	
wind_direction	Ridge	51	76248	25	4.8	0.53	ok	
wind_direction	Ridge	52	76248	25	4.7	0.55	ok	
wind_direction	Ridge	53	76248	25	4.8	0.54	ok	
wind_direction	Ridge	54	76248	25	4.8	0.53	ok	
wind_direction	Ridge	55	76248	25	4.8	0.54	ok	
wind_direction	Ridge	56	76248	25	4.8	0.53	ok	
wind_direction	Ridge	57	76248	25	4.7	0.53	ok	
wind_direction	Ridge	58	76248	25	4.8	0.52	ok	
wind_direction	Ridge	59	76248	25	4.8	0.53	ok	
wind_direction	Ridge	60	76248	25	4.7	0.53	ok	
wind_direction	Ridge	61	76248	25	4.8	0.53	ok	
wind_direction	Ridge	62	76248	25	4.8	0.56	ok	
wind_direction	Ridge	63	76248	25	4.8	0.54	ok	
wind_direction	Ridge	64	76248	25	4.7	0.54	ok	
wind_direction	Ridge	65	76248	25	4.7	0.53	ok	
wind_direction	Ridge	66	76248	25	4.8	0.54	ok	
wind_direction	Ridge	67	76248	25	4.7	0.55	ok	
wind_direction	Ridge	68	76248	25	4.7	0.53	ok	
wind_direction	Ridge	69	76248	25	4.7	0.53	ok	
wind_direction	Ridge	70	76248	25	4.7	0.53	ok	
wind_direction	Ridge	71	76248	25	4.7	0.54	ok	
wind_direction	Ridge	72	76248	25	4.7	0.52	ok	
