target,model_class,LOSO_L1,LOSO_L6,LOSO_L24,LOSO_L48,LOSO_L72,within_station_L1,within_station_L6,within_station_L24,within_station_L48,within_station_L72,april_L1,april_L6,april_L24,april_L48,april_L72,headline_metric
temperature,HGB,48.84512707678054,18.57433120125561,18.978626879679663,16.642768297755666,16.00259024964461,57.95870116167182,40.34465955966072,38.22936565978077,37.229509277200734,36.196275622491235,54.873968293250456,30.963805193785923,30.467974155164196,27.522408890077383,26.874990031359708,MAE reduction %
relative_humidity,HGB,68.70552633908008,41.42235578423252,39.18295705161325,37.41950983343575,37.475010428994274,69.82089978794266,46.179039168240315,43.07749034556999,43.16940556062971,42.72907657318316,70.87730562813157,45.1953306128852,44.29782160024798,41.823101705300175,42.12120650009577,MAE reduction %
dew_point,HGB,65.41096494233169,45.08659218992206,43.91880760981995,42.41265936959723,41.49109777082007,69.95622885608017,53.6626766176542,51.798703491737385,52.52096513523911,50.945999085595055,72.85504523323925,56.62942876312605,55.95069826861566,54.95236961128762,54.30931775774762,MAE reduction %
wind_speed,Ridge,67.06429780985681,42.78585514240428,39.54268633895762,35.7747684075275,33.5241068211501,76.27032153696986,56.64880572052257,53.90774290335609,50.440740051542285,49.02268557727979,77.33970715373529,59.477602300199955,59.2924377912321,56.05441624274022,53.94315863238232,MAE reduction %
wind_gust,Ridge,82.9711541839775,70.5470723893353,68.6790445278395,66.85766913412769,65.67119618052821,86.56812944029984,76.46721303958671,75.2590530433239,73.41622532534672,72.59018007457007,87.40784660084239,78.49145920952397,78.57337061903678,76.9701539877188,75.76848894216951,MAE reduction %
pressure,Ridge,92.59097146162534,81.89125719441611,66.9800469386234,56.696154081378324,50.31179461240939,94.16443273382212,86.10305838904262,72.77597822330486,64.86795647186139,58.81455793416842,93.2559558839352,83.56664168105732,66.55047148989264,50.081867992126234,37.7819170226007,MAE reduction %
uv,HGB,0.30191934299329304,0.3417833255492706,0.31301635428071684,0.3185976761100156,0.31978293323959733,0.2435311600933288,0.26109421206570144,0.2528073039494079,0.25832807571721306,0.2542808181125235,0.5334314632926188,0.7204326124040872,0.538615423806299,0.5314788003404951,0.5342676215823614,absolute MAE (UV index points)
wind_direction,Ridge,31.845307949524,4.349838160987808,3.8910597091596406,0.39267873688484395,-1.2181943092865881,51.55419785036611,33.13252073161363,33.800658891499594,30.926057732183203,28.37239311629981,52.07965449716757,24.80790306621258,30.173028385051303,25.88198204484735,24.1247345913145,circular MAE reduction %
