target,model_class,hp,validation_mode,lead_hours,shipped_in_v1,baseline_mae,corrected_mae,mae_reduction_pct,baseline_bias,corrected_bias,bias_correction_pct,n_stations,n_failures,n_eval,absolute_mae,target_mean,target_std,baseline_mae_for_reference,note
temperature,HGB,"max_depth=10, lr=0.1",LOSO,1.0,True,1.2868840592717175,0.5975108491781473,48.84512707678054,-0.4788338916557855,0.0628875157262543,86.86652786652337,26.0,0.0,,,,,,
temperature,HGB,"max_depth=10, lr=0.1",LOSO,6.0,True,1.2868840592717175,1.0002752081859068,18.57433120125561,-0.4788338916557855,0.01583251153560715,96.69352737734184,26.0,4.0,,,,,,
temperature,HGB,"max_depth=10, lr=0.1",LOSO,24.0,True,1.2868840592717175,0.9697033254079231,18.978626879679663,-0.4788338916557855,0.10749407416324039,77.55086345464586,26.0,4.0,,,,,,
temperature,HGB,"max_depth=10, lr=0.1",LOSO,48.0,True,1.2868840592717175,1.0000420032707438,16.642768297755666,-0.4788338916557855,0.09538948996510542,80.07879316243616,26.0,4.0,,,,,,
temperature,HGB,"max_depth=10, lr=0.1",LOSO,72.0,True,1.2868840592717175,1.0053227932286959,16.00259024964461,-0.4788338916557855,0.10711420410418769,77.63019577962794,26.0,4.0,,,,,,
temperature,HGB,"max_depth=10, lr=0.1",within_station,1.0,True,1.2439655172413793,0.5229792605492032,57.95870116167182,-0.4549425287356321,-0.0014903548223336419,,,,6960.0,,,,,
temperature,HGB,"max_depth=10, lr=0.1",within_station,6.0,True,1.2439655172413793,0.7420918642707722,40.34465955966072,-0.4549425287356321,-0.012935732122724504,,,,6960.0,,,,,
temperature,HGB,"max_depth=10, lr=0.1",within_station,24.0,True,1.2439655172413793,0.7684053909735892,38.22936565978077,-0.4549425287356321,0.019266541556601107,,,,6960.0,,,,,
temperature,HGB,"max_depth=10, lr=0.1",within_station,48.0,True,1.2439655172413793,0.7808432595948218,37.229509277200734,-0.4549425287356321,0.007040989006389015,,,,6960.0,,,,,
temperature,HGB,"max_depth=10, lr=0.1",within_station,72.0,True,1.2439655172413793,0.7936963299719408,36.196275622491235,-0.4549425287356321,0.023108503169112313,,,,6960.0,,,,,
temperature,HGB,"max_depth=10, lr=0.1",april,1.0,True,1.3562687413890915,0.6120302622679744,54.873968293250456,-0.4348650619985413,-0.01151782199167043,,,,12339.0,,,,,
temperature,HGB,"max_depth=10, lr=0.1",april,6.0,True,1.3594149759634973,0.9384883710310082,30.963805193785923,-0.43921616556669113,0.02539555604958263,,,,12273.0,,,,,
temperature,HGB,"max_depth=10, lr=0.1",april,24.0,True,1.3680060020006668,0.9512022868700086,30.467974155164196,-0.43862954318106034,0.07295984955793419,,,,11996.0,,,,,
temperature,HGB,"max_depth=10, lr=0.1",april,48.0,True,1.3798360655737705,1.000071941593801,27.522408890077383,-0.44126833477135463,0.12834660887277918,,,,11590.0,,,,,
temperature,HGB,"max_depth=10, lr=0.1",april,72.0,True,1.3846757648737846,1.0125442910973013,26.874990031359708,-0.4386941396842387,0.11887791599705795,,,,11211.0,,,,,
relative_humidity,HGB,"max_depth=10, lr=0.1",LOSO,1.0,True,6.883107232455158,2.137118139083147,68.70552633908008,0.19121914324208739,-0.0365475187301758,,26.0,0.0,,,,,,
relative_humidity,HGB,"max_depth=10, lr=0.1",LOSO,6.0,True,6.883107232455158,3.9889773295776862,41.42235578423252,0.19121914324208739,-0.060430380222037845,,26.0,1.0,,,,,,
relative_humidity,HGB,"max_depth=10, lr=0.1",LOSO,24.0,True,6.883107232455158,4.152198040274751,39.18295705161325,0.19121914324208739,-0.13088850785957343,,26.0,0.0,,,,,,
relative_humidity,HGB,"max_depth=10, lr=0.1",LOSO,48.0,True,6.883107232455158,4.274977029947824,37.41950983343575,0.19121914324208739,-0.13721804894151238,,26.0,1.0,,,,,,
relative_humidity,HGB,"max_depth=10, lr=0.1",LOSO,72.0,True,6.883107232455158,4.267851170100273,37.475010428994274,0.19121914324208739,-0.06738642117250494,,26.0,1.0,,,,,,
relative_humidity,HGB,"max_depth=10, lr=0.1",within_station,1.0,True,6.9077586206896555,2.0846993965449605,69.82089978794266,0.6890804597701149,0.043080955135721924,,,,6960.0,,,,,
relative_humidity,HGB,"max_depth=10, lr=0.1",within_station,6.0,True,6.9077586206896555,3.717822061593883,46.179039168240315,0.6890804597701149,0.13452586957439183,,,,6960.0,,,,,
relative_humidity,HGB,"max_depth=10, lr=0.1",within_station,24.0,True,6.9077586206896555,3.9320695677667903,43.07749034556999,0.6890804597701149,0.09878798637297175,,,,6960.0,,,,,
relative_humidity,HGB,"max_depth=10, lr=0.1",within_station,48.0,True,6.9077586206896555,3.9257202865747773,43.16940556062971,0.6890804597701149,0.18895569046549224,,,,6960.0,,,,,
relative_humidity,HGB,"max_depth=10, lr=0.1",within_station,72.0,True,6.9077586206896555,3.956137150164512,42.72907657318316,0.6890804597701149,0.13558089448333563,,,,6960.0,,,,,
relative_humidity,HGB,"max_depth=10, lr=0.1",april,1.0,True,8.25257314206986,2.4033716539799044,70.87730562813157,2.6025204635707917,0.22512767184850152,,,,12339.0,,,,,
relative_humidity,HGB,"max_depth=10, lr=0.1",april,6.0,True,8.263627474945002,4.528853717026391,45.1953306128852,2.6452782530758574,0.7048772493924814,,,,12273.0,,,,,
relative_humidity,HGB,"max_depth=10, lr=0.1",april,24.0,True,8.31702234078026,4.632762621808652,44.29782160024798,2.621623874624875,0.5637597264337727,,,,11996.0,,,,,
relative_humidity,HGB,"max_depth=10, lr=0.1",april,48.0,True,8.379551337359793,4.874963059087966,41.823101705300175,2.625798101811907,0.45425132047078176,,,,11590.0,,,,,
relative_humidity,HGB,"max_depth=10, lr=0.1",april,72.0,True,8.42101507448042,4.87398192555433,42.12120650009577,2.692712514494693,0.9288325778646637,,,,11211.0,,,,,
dew_point,HGB,"max_depth=10, lr=0.1",LOSO,1.0,True,1.8329209033890304,0.6223395000285917,65.41096494233169,0.2536101060380212,0.032900902293940416,87.02697506502051,26.0,0.0,,,,,,
dew_point,HGB,"max_depth=10, lr=0.1",LOSO,6.0,True,1.8329209033890304,0.9886784694663333,45.08659218992206,0.2536101060380212,0.05917722286511844,76.6660628041981,26.0,0.0,,,,,,
dew_point,HGB,"max_depth=10, lr=0.1",LOSO,24.0,True,1.8329209033890304,1.007958739396615,43.91880760981995,0.2536101060380212,0.04956605251919761,80.45580545131484,26.0,0.0,,,,,,
dew_point,HGB,"max_depth=10, lr=0.1",LOSO,48.0,True,1.8329209033890304,1.0341167852883375,42.41265936959723,0.2536101060380212,0.045548721793752585,82.03986327464257,26.0,0.0,,,,,,
dew_point,HGB,"max_depth=10, lr=0.1",LOSO,72.0,True,1.8329209033890304,1.047499873942147,41.49109777082007,0.2536101060380212,0.06913411863823643,72.73999852834262,26.0,0.0,,,,,,
dew_point,HGB,"max_depth=10, lr=0.1",within_station,1.0,True,1.9299568965517242,0.5798318331762975,69.95622885608017,0.4918534482758621,0.013841676530037508,,,,6960.0,,,,,
dew_point,HGB,"max_depth=10, lr=0.1",within_station,6.0,True,1.9299568965517242,0.8942903682950574,53.6626766176542,0.4918534482758621,0.04970962312411955,,,,6960.0,,,,,
dew_point,HGB,"max_depth=10, lr=0.1",within_station,24.0,True,1.9299568965517242,0.9302642461885597,51.798703491737385,0.4918534482758621,0.0415413371104658,,,,6960.0,,,,,
